Evaluating agent TD-Ntuple-4 for 3000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=3000000,featmode=0,alpha=0.2,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,1861962,2630770,1346747,0
100000,-1,00,3730107,5249587,2594790,717458
150000,-1,00,5627976,7892781,3930015,1429568
200000,-1,00,7497872,10479626,5348967,2592348
250000,-1,00,9409775,13106198,6817426,3354585
300000,-1,00,11329376,15726475,7729124,4051621
350000,-1,00,13238083,18314412,8628339,4750683
400000,-1,00,15162343,20904781,9525345,5452884
450000,-1,00,17080236,23471579,10546487,6047116
500000,-1,00,19041161,26078732,11355615,6716557
550000,-1,00,21000991,28668135,12151164,7427488
600000,-1,00,22983476,31270705,12973482,8017311
650000,-1,00,24973031,33864757,13777441,8696681
700000,-1,00,26998341,36488175,14611045,9329572
750000,-1,00,29022026,39092055,15433326,9997360
800000,-1,00,31026854,41656606,16259893,10759450
850000,-1,00,33026281,44197726,17086412,11484194
900000,-1,00,35043369,46745438,17896488,12435750
950000,-1,00,37078644,49301643,18722228,13106968
1000000,-1,00,39137853,51871622,19549902,13865380
1050000,-1,00,41246497,54486229,20419542,14413728
1100000,-1,00,43346091,57073767,21423869,15106572
1150000,-1,00,45423389,59619944,22462185,15904017
1200000,-1,00,47536561,62194263,23323234,16582247
1250000,-1,00,49631761,64729926,24163736,17303219
1300000,-1,00,51708822,67228950,24996859,17710709
1350000,-1,00,53779938,69706700,26757540,18086686
1400000,-0,60,55806192,72116165,27627486,18776587
1450000,-1,00,57830654,74509232,28477063,19318211
1500000,-1,00,59849685,76882396,29352648,19767962
1550000,-1,00,61824711,79191074,30144413,20142995
1600000,-1,00,63769705,81450484,30922685,20315580
1650000,-1,00,65740236,83726403,31710499,20701892
1700000,-1,00,67650201,85920970,32473433,21026799
1750000,-1,00,69595519,88143181,33246121,21323419
1800000,-0,60,71570901,90387060,33995413,21554863
1850000,0,20,73693722,92785476,34801089,21941316
1900000,-1,00,75740454,95084243,35570401,22226565
1950000,-1,00,77870899,97465089,36382394,22572501
2000000,-1,00,79956223,99782198,37272150,22752136
2050000,-1,00,82215359,102279964,38284566,23005296
2100000,0,60,84488590,104779744,39130708,23197947
2150000,-1,00,86701226,107199528,40081678,24443524
2200000,-0,60,88957357,109653953,40933414,24628478
2250000,-0,20,91237175,112120663,41794450,24873162
2300000,-1,00,93348732,114393132,42575805,25023530
2350000,0,20,95500390,116696405,43385289,25242955
2400000,0,20,97652783,118989165,46077591,44776281
2450000,-1,00,99814637,121279933,48819695,46481049
2500000,-1,00,101927125,123506900,51508602,47235094
2550000,1,00,104163218,125851768,52262783,47367298
2600000,0,60,106336334,128119138,53091565,52543305
2650000,-1,00,108476722,130340749,53886590,53107649
2700000,-1,00,110506607,132437302,54622505,54055750
2750000,-1,00,112336271,134317649,55270386,54239023
2800000,0,20,114295342,136320551,55966621,54373084
2850000,-1,00,116239493,138298333,56683692,54658669
2900000,-1,00,117716400,139793382,57161694,54891923
2950000,-1,00,119409944,141499405,57714409,55043365
3000000,-1,00,120717383,142810282,58122902,55224075
