Evaluating agent Sarsa-4 for 5000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=5000000,featmode=0,alpha=1.0..0.5,epsilon=0.1..0.0,lambda=0.0,gamma=1.0,epochs=1,sigmoid
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,614569,657953,82807,0
100000,-0,20,1249718,1336323,168277,33568
150000,-0,60,1904321,2035678,255638,62210
200000,-1,00,2490067,2661532,324153,104808
250000,-0,20,3036790,3244723,399997,134567
300000,-0,60,3542196,3784908,461970,162656
350000,-0,20,4181796,4464517,542159,185933
400000,-1,00,4738857,5058369,608030,221240
450000,-1,00,5386044,5746562,670067,252764
500000,-1,00,6008845,6407895,740092,283335
550000,-0,20,6608676,7043379,787719,301683
600000,-0,20,7207557,7678911,845917,322727
650000,0,20,7844784,8356514,909324,356170
700000,-0,20,8533242,9089400,982389,382008
750000,-0,20,9149946,9743656,1048002,407593
800000,-0,20,9777520,10409953,1115273,433646
850000,0,20,10427860,11099878,1178816,457826
900000,-0,60,11028826,11736164,1235355,495960
950000,-0,60,11592765,12333461,1287646,516509
1000000,-0,60,12126475,12897016,1335870,537744
1050000,-0,20,12720315,13523874,1394792,557151
1100000,-0,20,13348843,14187728,1456458,582582
1150000,-0,20,13992948,14867501,1517497,605098
1200000,-0,60,14462157,15361297,1561382,625526
1250000,-0,60,15088347,16021328,1619786,653050
1300000,-0,20,15754369,16724226,1685222,678708
1350000,-0,60,16496517,17508310,1759929,698509
1400000,-0,60,17035247,18076004,1810489,720838
1450000,0,20,17559754,18627820,1858177,741831
1500000,-0,60,17980717,19070507,1896624,766472
1550000,-1,00,18427621,19539285,1936951,789398
1600000,-0,20,18978368,20117219,1989002,810255
1650000,-0,60,19472627,20635317,2033543,832416
1700000,-0,60,19981872,21168416,2091853,855896
1750000,-0,20,20481303,21690942,2136536,879499
1800000,0,20,21009723,22242935,2182736,908463
1850000,-0,60,21533595,22789809,2228060,929113
1900000,-1,00,22048515,23327097,2277725,952523
1950000,-0,60,22578828,23879867,2323393,972127
2000000,-1,00,23110850,24433804,2374137,991665
2050000,-0,60,23664231,25009541,2438005,1017798
2100000,-0,60,24206867,25573484,2484520,1053221
2150000,-1,00,24768725,26157241,2533432,1074801
2200000,-1,00,25273144,26681191,2579270,1101385
2250000,-0,60,25868897,27298677,2632544,1116763
2300000,-0,20,26505911,27957950,2686663,1135264
2350000,-0,60,27152994,28627685,2742565,1419351
2400000,-0,20,27772202,29267297,2796154,1439605
2450000,0,20,28119842,29626950,2827419,1465981
2500000,-0,60,28479746,29998787,2859737,1488933
2550000,-0,60,28836161,30366908,2895016,1507402
2600000,-0,20,29187843,30729943,2928631,1527248
2650000,-0,60,29532267,31085090,2962651,1546077
2700000,-0,60,29874506,31437875,2994184,1564806
2750000,-0,60,30213576,31786904,3025059,1581894
2800000,-0,60,30556303,32139527,3056610,1601772
2850000,-1,00,30898068,32490949,3087664,1628052
2900000,-1,00,31366084,32972400,3129443,1648679
2950000,-0,60,31899580,33521105,3183800,1662422
3000000,-0,60,32439785,34076380,3228291,1684534
3050000,-0,60,32986285,34637377,3271061,1702208
3100000,-1,00,33524914,35190104,3332574,1750202
3150000,-1,00,34063210,35742204,3387848,1766592
3200000,-0,60,34601882,36293998,3455595,1792694
3250000,-0,60,35141003,36846340,3529594,1831377
3300000,-0,60,35679625,37397622,3587668,1851300
3350000,-1,00,36218231,37948594,3646820,1889174
3400000,-1,00,36758733,38501159,3708847,1908363
3450000,-0,60,37300072,39054202,3770361,1940618
3500000,0,20,37844091,39609508,3833584,1958621
3550000,-1,00,38389989,40166427,3901711,1987888
3600000,-0,60,38932986,40719797,3960566,2010448
3650000,-0,60,39475305,41272053,4019848,2032628
3700000,-1,00,40018445,41824777,4076728,2064021
3750000,-0,20,40563296,42378911,4134039,2101611
3800000,-0,60,41106354,42930839,4190632,2129497
3850000,-1,00,41649436,43482309,4249828,2153568
3900000,-0,60,42194768,44036016,4309553,2171680
3950000,-1,00,42738760,44587815,4367212,2202500
4000000,-0,20,43285428,45142019,4431104,2231994
4050000,-0,60,43832440,45696048,4489488,2263073
4100000,-0,60,44378945,46249204,4544004,2287782
4150000,-0,60,44925726,46802438,4590858,2310469
4200000,-1,00,45475169,47357896,4637428,2325279
4250000,-0,60,46022408,47910829,4684472,2340002
4300000,-0,60,46570523,48464129,4730777,2361988
4350000,-1,00,47117952,49016425,4776525,2384118
4400000,-1,00,47665164,49568130,4821794,2404143
4450000,-1,00,48213407,50120483,4867380,2421619
4500000,-1,00,48761379,50672390,4913900,2441599
4550000,-0,60,49311714,51226097,4959457,2459432
4600000,-1,00,49861016,51778540,5004748,2476715
4650000,-0,60,50409959,52330162,5049982,2490217
4700000,-1,00,50960017,52882616,5094590,2512532
4750000,-0,60,51511712,53436307,5139566,2527947
4800000,-1,00,52064505,53990742,5192580,2549047
4850000,-1,00,52615584,54543101,5240703,2569377
4900000,-0,60,53166652,55095072,5286475,2583787
4950000,-1,00,53716913,55645902,5330471,2610238
5000000,-0,60,54286840,56216020,5390206,2626932
